A10		Point
AA57		1.2940540540540537
AA58		1.4302702702702701
AA59		1.5286486486486486
AA60		1.6118918918918916
AA61		1.6610810810810808
AA62		1.6951351351351351
AA63		1.7027027027027026
AA64		1.7027027027027026
AA65		0
AA66		0
AA67		0
AA68		0
AA69		0
AA70		0
AA71		0
AA72		0
AA73		0
AA74		0
AA75		0
AA76		0
AA77		0
AA78		0
AA79		27
AA8		
AA9		9
AB10		X  =
AB11		Z
AB12	'Basis Hull'!AB13	0
AB13	'Basis Hull'!AB14	0.19999999999999998
AB14	'Basis Hull'!AB15	0.39999999999999997
AB15	'Basis Hull'!AB16	0.6
AB16	'Basis Hull'!AB17	0.79999999999999993
AB17	'Basis Hull'!AB18	0.99999999999999989
AB18	'Basis Hull'!AB19	1.2
AB19	'Basis Hull'!AB20	1.4
AB20	'Basis Hull'!AB21	1.5999999999999999
AB21	'Basis Hull'!AB22	1.7999999999999998
AB22	'Basis Hull'!AB23	1.9999999999999998
AB23	'Basis Hull'!AB24	2.1999999999999997
AB24	'Basis Hull'!AB25	2.4
AB25	'Basis Hull'!AB26	0
AB26	'Basis Hull'!AB27	0
AB27	'Basis Hull'!AB28	0
AB28	'Basis Hull'!AB29	0
AB29	'Basis Hull'!AB30	0
AB30	'Basis Hull'!AB31	0
AB31	'Basis Hull'!AB32	0
AB32	'Basis Hull'!AB33	0
AB33	'Basis Hull'!AB34	0
AB34	'Basis Hull'!AB35	0
AB35	'Basis Hull'!AB36	0
AB36	'Basis Hull'!AB37	0
AB37	'Basis Hull'!AB38	0
AB38	'Basis Hull'!AB39	0
AB39		27
AB46		
AB48		
AB49		Number:
AB50		X  =
AB51		Z
AB52	AB12	0
AB53	IF(AB13<$I$4,AB13*$I$43/$I$4,$I$43+(AB13-$I$4)*($E$46-$I$43)/($E$6-$I$4))-Input!$B$14*AB13/$E$6*(1-AB13/$E$6)*AC$10/$E$4*(1-AC$10/$E$4)	8.0885298356300275E-2
AB54	IF(AB14<$I$4,AB14*$I$43/$I$4,$I$43+(AB14-$I$4)*($E$46-$I$43)/($E$6-$I$4))-Input!$B$14*AB14/$E$6*(1-AB14/$E$6)*AC$10/$E$4*(1-AC$10/$E$4)	0.17797326973872776
