# station 21  X=Z Offset
0	0
0.19999999999999998	0
0.39999999999999997	0
0.6	0
0.79999999999999993	0
0.99999999999999989	0
1.2	0.03
1.4	0.56999999999999995
1.5999999999999999	1.0149999999999999
1.7999999999999998	1.23
1.9999999999999998	1.37
2.1999999999999997	1.48
2.4	1.54
# station 20  X=1.6175000000000002
0	0
0.19999999999999998	0
0.39999999999999997	0
0.6	0
0.79999999999999993	0
0.99999999999999989	0.3
1.2	0.8
1.4	1.22
1.5999999999999999	1.48
1.7999999999999998	1.67
1.9999999999999998	1.78
2.1999999999999997	1.87
2.4	1.92
# station 19  X=4.8525000000000009
0	0
0.19999999999999998	0
0.39999999999999997	0
0.6	7.0000000000000007E-2
0.79999999999999993	0.38
0.99999999999999989	0.88
1.2	1.32
1.4	1.58
1.5999999999999999	1.78
1.7999999999999998	1.92
1.9999999999999998	2.02
2.1999999999999997	2.1
2.4	2.145
# station 18  X=8.0875000000000004
0	0
0.19999999999999998	0
0.39999999999999997	0.1
0.6	0.35
0.79999999999999993	0.83
0.99999999999999989	1.29
1.2	1.6
1.4	1.8
1.5999999999999999	1.95
1.7999999999999998	2.06
1.9999999999999998	2.14
2.1999999999999997	2.19
2.4	2.2200000000000002
# station 17  X=11.3225
0	0
0.19999999999999998	7.4999999999999997E-2
0.39999999999999997	0.18
0.6	0.62
0.79999999999999993	1.1499999999999999
0.99999999999999989	1.53
1.2	1.76
1.4	1.93
1.5999999999999999	2.0499999999999998
1.7999999999999998	2.14
1.9999999999999998	2.2000000000000002
2.1999999999999997	2.2400000000000002
2.4	2.25
# station 16  X=14.557499999999999
0	0.08
0.19999999999999998	0.09
0.39999999999999997	0.22
0.6	0.78
0.79999999999999993	1.36
0.99999999999999989	1.65
1.2	1.85
1.4	2
1.5999999999999999	2.1
1.7999999999999998	2.1800000000000002
1.9999999999999998	2.23
2.1999999999999997	2.2450000000000001
2.4	2.25
# station 15  X=17.7925
0	0.08
0.19999999999999998	0.09
0.39999999999999997	0.22
0.6	0.98
0.79999999999999993	1.44
0.99999999999999989	1.71
1.2	1.89
1.4	2.02
1.5999999999999999	2.13
1.7999999999999998	2.1949999999999998
1.9999999999999998	2.2400000000000002
2.1999999999999997	2.25
2.4	2.25
# station 14  X=21.0275
0	0.08
0.19999999999999998	0.09
0.39999999999999997	0.22
0.6	0.98
0.79999999999999993	1.44
0.99999999999999989	1.71
1.2	1.89
1.4	2.02
1.5999999999999999	2.13
1.7999999999999998	2.1949999999999998
1.9999999999999998	2.2400000000000002
2.1999999999999997	2.25
2.4	2.25
# station 13  X=24.262499999999999
0	0.08
0.19999999999999998	0.09
0.39999999999999997	0.22
0.6	0.98
0.79999999999999993	1.44
0.99999999999999989	1.71
1.2	1.89
1.4	2.02
1.5999999999999999	2.13
1.7999999999999998	2.1949999999999998
1.9999999999999998	2.2400000000000002
2.1999999999999997	2.25
2.4	2.25
# station 12  X=27.497499999999999
0	0.08
0.19999999999999998	0.09
0.39999999999999997	0.22
0.6	0.98
0.79999999999999993	1.44
0.99999999999999989	1.71
1.2	1.89
1.4	2.02
1.5999999999999999	2.13
1.7999999999999998	2.1949999999999998
1.9999999999999998	2.2400000000000002
2.1999999999999997	2.25
2.4	2.25
# station 11  X=30.732499999999998
0	0.08
0.19999999999999998	0.09
0.39999999999999997	0.22
0.6	0.98
0.79999999999999993	1.44
0.99999999999999989	1.71
1.2	1.89
1.4	2.02
1.5999999999999999	2.13
1.7999999999999998	2.1949999999999998
1.9999999999999998	2.2400000000000002
2.1999999999999997	2.25
2.4	2.25
# station 10  X=
0	0.08
0.19999999999999998	0.09
0.39999999999999997	0.22
0.6	0.98
0.79999999999999993	1.44
0.99999999999999989	1.71
1.2	1.89
1.4	2.02
1.5999999999999999	2.13
1.7999999999999998	2.1949999999999998
1.9999999999999998	2.2400000000000002
2.1999999999999997	2.25
2.4	2.25
# station 9  X=
0	0.08
0.19999999999999998	0.09
0.39999999999999997	0.22
0.6	0.98
0.79999999999999993	1.44
0.99999999999999989	1.71
1.2	1.89
1.4	2.02
1.5999999999999999	2.13
1.7999999999999998	2.1949999999999998
1.9999999999999998	2.2400000000000002
2.1999999999999997	2.25
2.4	2.25
# station 8  X=
0	0.08
0.19999999999999998	0.09
0.39999999999999997	0.22
0.6	0.98
0.79999999999999993	1.44
0.99999999999999989	1.71
1.2	1.89
1.4	2.02
1.5999999999999999	2.13
1.7999999999999998	2.1949999999999998
1.9999999999999998	2.2400000000000002
2.1999999999999997	2.25
2.4	2.25
# station 7  X=
0	0.08
0.19999999999999998	0.09
0.39999999999999997	0.22
0.6	0.92
0.79999999999999993	1.37
0.99999999999999989	1.65
1.2	1.83
1.4	1.96
1.5999999999999999	2.06
1.7999999999999998	2.13
1.9999999999999998	2.17
2.1999999999999997	2.19
2.4	2.2000000000000002
# station 6  X=
0	0
0.19999999999999998	0.06
0.39999999999999997	0.17
0.6	0.72
0.79999999999999993	1.21
0.99999999999999989	1.48
1.2	1.66
1.4	1.8
1.5999999999999999	1.9
1.7999999999999998	1.98
1.9999999999999998	2.02
2.1999999999999997	2.04
2.4	2.04
# station 5  X=
0	0
0.19999999999999998	0
0.39999999999999997	0.13
0.6	0.45
0.79999999999999993	0.92
0.99999999999999989	1.18
1.2	1.37
1.4	1.5
1.5999999999999999	1.6
1.7999999999999998	1.66
1.9999999999999998	1.71
2.1999999999999997	1.73
2.4	1.73
